X,Y,TOP_RDG,BOTTOM_RDG,VRT_GRAD
58,49.887,45459.079,45463.551,6.88
58,49.662,45458.632,45461.209,3.965
58,49.437,45458.571,45459.891,2.031
58,49.212,45458.51,45459.437,1.426
58,48.986,45458.201,45459.776,2.423
58,48.761,45458.324,45460.612,3.52
58,48.536,45458.182,45461.269,4.749
58,48.311,45458.034,45461.177,4.835
58,48.086,45458.066,45461.282,4.948
58,47.86,45457.892,45460.632,4.215
58,47.635,45457.644,45459.902,3.474
58,47.41,45457.593,45460.033,3.754
58,47.185,45457.522,45460.15,4.043
58,46.959,45457.354,45459.683,3.583
58,46.734,45457.407,45459.437,3.123
58,46.509,45457.201,45458.644,2.22
58,46.284,45457.058,45458.242,1.822
58,46.059,45457.131,45459.106,3.038
58,45.833,45456.944,45459.553,4.014
58,45.608,45457.023,45459.384,3.632
58,45.383,45457.077,45458.407,2.046
58,45.158,45456.902,45457.994,1.68
58,44.932,45456.727,45458.118,2.14
58,44.707,45456.663,45458.529,2.871
58,44.482,45456.534,45458.749,3.408
58,44.257,45456.507,45458.764,3.472
58,44.032,45456.399,45458.335,2.978
58,43.806,45456.109,45457.736,2.503
58,43.581,45455.954,45457.665,2.632
58,43.356,45455.544,45457.428,2.898
58,43.131,45455.111,45457.203,3.218
58,42.905,45454.85,45457.209,3.629
58,42.68,45454.418,45456.572,3.314
58,42.455,45454.119,45455.686,2.411
58,42.23,45453.79,45454.615,1.269
58,42.005,45453.553,45453.553,0
58,41.779,45453.346,45452.327,-1.568
58,41.554,45453.148,45451.089,-3.168
58,41.329,45453.357,45451.235,-3.265
58,41.104,45453.435,45451.47,-3.023
58,40.878,45453.656,45451.832,-2.806
58,40.653,45454.073,45452.776,-1.995
58,40.428,45454.359,45453.515,-1.298
58,40.203,45454.778,45454.21,-0.874
58,39.977,45455.706,45454.718,-1.52
58,39.752,45456.49,45454.975,-2.331
58,39.527,45457.427,45455.358,-3.183
58,39.302,45458.892,45457.285,-2.472
58,39.077,45460.107,45458.985,-1.726
58,38.851,45461.384,45460.889,-0.762
58,38.626,45462.384,45462.818,0.668
58,38.401,45463.039,45464.099,1.631
58,38.176,45463.786,45465.188,2.157
58,37.95,45464.262,45465.931,2.568
58,37.725,45464.756,45466.425,2.568
58,37.5,45464.836,45466.867,3.125
58,37.275,45464.705,45466.66,3.008
58,37.05,45464.652,45466.343,2.602
58,36.824,45464.568,45466.084,2.332
58,36.599,45464.499,45465.683,1.822
58,36.374,45464.313,45465.024,1.094
58,36.149,45463.94,45464.342,0.618
58,35.923,45463.811,45463.739,-0.111
58,35.698,45463.838,45462.942,-1.378
58,35.473,45463.951,45462.601,-2.077
58,35.248,45464.085,45462.57,-2.331
58,35.023,45464.1,45462.886,-1.868
58,34.797,45464.414,45463.733,-1.048
58,34.572,45464.56,45463.013,-2.38
58,34.347,45464.549,45458.262,-9.672
58,34.122,45465.28,45454.593,-16.442
58,33.896,45466.126,45459.395,-10.355
58,33.671,45467.26,45471.181,6.032
58,33.446,45467.774,45473.143,8.26
